Champion Rank by counts:
         champion     count
102      Tristana  0.017387
121         Yasuo  0.016133
24         Ezreal  0.016080
13        Caitlyn  0.014983
124           Zed  0.014969
42           Jinx  0.014556
66        Morgana  0.014152
27           Fizz  0.013474
40            Jax  0.013423
63      Master Yi  0.013105
59            Lux  0.012835
81         Rengar  0.012810
82          Riven  0.011851
60       Malphite  0.011610
55          Leona  0.011296
1            Ahri  0.010883
6           Annie  0.010804
105  Twisted Fate  0.010122
80       Renekton  0.010090
21           Ekko  0.009927
120      Xin Zhao  0.009552
33         Graves  0.009408
17         Darius  0.009379
3         Alistar  0.009307
51        Kindred  0.009128
12          Braum  0.009116
38          Janna  0.009039
53        LeBlanc  0.009039
94         Soraka  0.009011
26          Fiora  0.008999
9            Bard  0.008866
19      Dr. Mundo  0.008774
77          Quinn  0.008735
37         Irelia  0.008395
97     Tahm Kench  0.008215
69       Nautilus  0.008206
76          Poppy  0.008185
43        Kalista  0.008093
93           Sona  0.008005
18          Diana  0.007947
104    Tryndamere  0.007877
68          Nasus  0.007688
58           Lulu  0.007617
103       Trundle  0.007537
87           Shen  0.007385
118        Wukong  0.007380
36         Illaoi  0.007376
115      Vladimir  0.007357
75       Pantheon  0.007213
113            Vi  0.007162
7            Ashe  0.007116
30          Garen  0.007048
70        Nidalee  0.007005
20         Draven  0.006813
86          Shaco  0.006689
31           Gnar  0.006542
29      Gangplank  0.006489
98          Talon  0.006416
116      Volibear  0.006373
107          Udyr  0.006254
100         Teemo  0.006251
22          Elise  0.006241
78         Rammus  0.006232
67           Nami  0.006165
4           Amumu  0.006137
34        Hecarim  0.005954
46       Kassadin  0.005942
61       Malzahar  0.005879
16          Corki  0.005837
84           Ryze  0.005751
15       Cho'Gath  0.005527
91          Sivir  0.005477
39      Jarvan IV  0.005416
114        Viktor  0.005302
8            Azir  0.005297
106        Twitch  0.005247
74        Orianna  0.005245
5          Anivia  0.005130
47       Katarina  0.005069
112       Vel'Koz  0.004850
48          Kayle  0.004840
117       Warwick  0.004750
73           Olaf  0.004656
88        Shyvana  0.004477
44          Karma  0.004465
111        Veigar  0.004434
127          Zyra  0.004373
50        Kha'Zix  0.004341
79        Rek'Sai  0.004291
71       Nocturne  0.004176
2           Akali  0.004175
23        Evelynn  0.004173
96         Syndra  0.004132
109         Varus  0.004091
56      Lissandra  0.004078
123           Zac  0.003956
35   Heimerdinger  0.003832
99          Taric  0.003766
49         Kennen  0.003765
41          Jayce  0.003729
126        Zilean  0.003615
52        Kog'Maw  0.003534
32         Gragas  0.003466
95          Swain  0.003439
89         Singed  0.003272
25   Fiddlesticks  0.003088
90           Sion  0.003057
0          Aatrox  0.003046
119        Xerath  0.002982
83         Rumble  0.002967
62         Maokai  0.002796
45        Karthus  0.002762
14     Cassiopeia  0.002741
125         Ziggs  0.002738
72           Nunu  0.002736
85        Sejuani  0.002712
28          Galio  0.002110
92        Skarner  0.002105
122        Yorick  0.001861
65    Mordekaiser  0.001825
108         Urgot  0.001721

-------------------------------------------------

Champion Rank by HITS
         champion       hub
98          Talon  0.012690
2           Akali  0.012320
106        Twitch  0.012129
27           Fizz  0.011963
47       Katarina  0.011612
124           Zed  0.011596
81         Rengar  0.011561
43        Kalista  0.011035
77          Quinn  0.011020
53        LeBlanc  0.010948
16          Corki  0.010945
63      Master Yi  0.010853
86          Shaco  0.010758
50        Kha'Zix  0.010707
102      Tristana  0.010639
23        Evelynn  0.010602
75       Pantheon  0.010573
20         Draven  0.010485
71       Nocturne  0.010423
46       Kassadin  0.010365
24         Ezreal  0.010239
33         Graves  0.010116
110         Vayne  0.010110
18          Diana  0.010073
57         Lucian  0.010059
109         Varus  0.009901
64   Miss Fortune  0.009890
96         Syndra  0.009767
52        Kog'Maw  0.009664
42           Jinx  0.009496
118        Wukong  0.009447
45        Karthus  0.009367
51        Kindred  0.009268
70        Nidalee  0.009262
21           Ekko  0.009063
34        Hecarim  0.009008
114        Viktor  0.009004
1            Ahri  0.008989
37         Irelia  0.008938
95          Swain  0.008910
22          Elise  0.008885
41          Jayce  0.008830
119        Xerath  0.008822
111        Veigar  0.008817
14     Cassiopeia  0.008800
121         Yasuo  0.008750
105  Twisted Fate  0.008742
5          Anivia  0.008666
113            Vi  0.008633
6           Annie  0.008519
30          Garen  0.008484
61       Malzahar  0.008467
26          Fiora  0.008413
54        Lee Sin  0.008407
82          Riven  0.008390
116      Volibear  0.008357
40            Jax  0.008305
13        Caitlyn  0.008291
7            Ashe  0.008290
11          Brand  0.008235
120      Xin Zhao  0.008231
59            Lux  0.008213
112       Vel'Koz  0.008189
29      Gangplank  0.008139
88        Shyvana  0.008135
73           Olaf  0.008076
