Champion Rank by counts:
         champion   count
71       Nocturne  0.040805  0.031345    0.009460
37         Irelia  0.076572  0.067446    0.009125
34        Hecarim  0.055607  0.047378    0.008229
116      Volibear  0.061530  0.053441    0.008089
23        Evelynn  0.039657  0.031612    0.008045
105  Twisted Fate  0.096573  0.089313    0.007260
2           Akali  0.036112  0.028968    0.007144
114        Viktor  0.048212  0.041073    0.007139
43        Kalista  0.087079  0.080338    0.006741
50        Kha'Zix  0.040842  0.034109    0.006733
61       Malzahar  0.051902  0.045990    0.005912
29      Gangplank  0.056946  0.051144    0.005802
96         Syndra  0.035582  0.029837    0.005746
107          Udyr  0.057490  0.052062    0.005428
60       Malphite  0.105322  0.100291    0.005031
113            Vi  0.067376  0.062363    0.005014
88        Shyvana  0.038905  0.034155    0.004750
119        Xerath  0.022543  0.018212    0.004332
111        Veigar  0.036033  0.031798    0.004236
70        Nidalee  0.064954  0.060734    0.004220
109         Varus  0.035009  0.031700    0.003310
15       Cho'Gath  0.046174  0.043017    0.003156
20         Draven  0.066567  0.063626    0.002941
95          Swain  0.024995  0.022063    0.002932
26          Fiora  0.076639  0.074233    0.002405
82          Riven  0.102489  0.100437    0.002052
41          Jayce  0.026712  0.024943    0.001769
117       Warwick  0.037969  0.036216    0.001753
21           Ekko  0.090068  0.088452    0.001616
104    Tryndamere  0.063303  0.061922    0.001381
125         Ziggs  0.016960  0.015714    0.001246
79        Rek'Sai  0.034651  0.033463    0.001188
123           Zac  0.031249  0.030216    0.001033
51        Kindred  0.082248  0.081403    0.000845
22          Elise  0.052739  0.052211    0.000528
73           Olaf  0.034048  0.033807    0.000242
45        Karthus  0.015299  0.015698   -0.000399
14     Cassiopeia  0.014679  0.015208   -0.000529
112       Vel'Koz  0.038819  0.039386   -0.000567
92        Skarner  0.008960  0.009573   -0.000614
108         Urgot  0.004769  0.005552   -0.000782
0          Aatrox  0.016967  0.017874   -0.000907
48          Kayle  0.034153  0.035366   -0.001214
85        Sejuani  0.014816  0.016083   -0.001267
74        Orianna  0.040537  0.041870   -0.001333
65    Mordekaiser  0.004799  0.006345   -0.001547
122        Yorick  0.004912  0.006500   -0.001588
76          Poppy  0.067976  0.069611   -0.001635
19      Dr. Mundo  0.075618  0.077301   -0.001683
83         Rumble  0.014987  0.016729   -0.001741
52        Kog'Maw  0.023938  0.025732   -0.001795
100         Teemo  0.044336  0.046853   -0.002517
42           Jinx  0.150423  0.153063   -0.002640
49         Kennen  0.022195  0.025113   -0.002918
39      Jarvan IV  0.040675  0.043693   -0.003019
28          Galio  0.006853  0.009964   -0.003112
84           Ryze  0.040653  0.044317   -0.003664
56      Lissandra  0.025408  0.029131   -0.003724
90           Sion  0.015007  0.018768   -0.003761
6           Annie  0.092649  0.096597   -0.003948
120      Xin Zhao  0.080746  0.085063   -0.004318
91          Sivir  0.044695  0.049395   -0.004699
68          Nasus  0.055344  0.060063   -0.004718
80       Renekton  0.080449  0.085309   -0.004861
25   Fiddlesticks  0.013637  0.019010   -0.005373
103       Trundle  0.059831  0.065210   -0.005378
40            Jax  0.110695  0.116078   -0.005383
62         Maokai  0.010521  0.016070   -0.005549
72           Nunu  0.010830  0.016457   -0.005627
32         Gragas  0.018738  0.024665   -0.005927
35   Heimerdinger  0.018866  0.024863   -0.005997
121         Yasuo  0.133741  0.139911   -0.006171
89         Singed  0.013435  0.020183   -0.006748
8            Azir  0.034549  0.041668   -0.007119
4           Amumu  0.043247  0.050543   -0.007296
78         Rammus  0.044637  0.052263   -0.007627
115      Vladimir  0.048947  0.057205   -0.008257
31           Gnar  0.042355  0.050897   -0.008542
17         Darius  0.067368  0.077208   -0.009840
127          Zyra  0.024726  0.035291   -0.010564
126        Zilean  0.015866  0.026857   -0.010990
7            Ashe  0.054732  0.067342   -0.012610
87           Shen  0.050239  0.063417   -0.013177
44          Karma  0.021466  0.036324   -0.014859
99          Taric  0.010393  0.027964   -0.017570
13        Caitlyn  0.139129  0.159116   -0.019987
36         Illaoi  0.037814  0.060284   -0.022470
11          Brand  0.147950  0.172064   -0.024114
97     Tahm Kench  0.051175  0.075333   -0.024158
58           Lulu  0.038792  0.069033   -0.030240
67           Nami  0.021400  0.056821   -0.035422
93           Sona  0.039109  0.076858   -0.037749
69       Nautilus  0.038957  0.077070   -0.038113
9            Bard  0.037626  0.087640   -0.050013
3         Alistar  0.031395  0.092081   -0.060686
66        Morgana  0.080362  0.142654   -0.062292
12          Braum  0.025578  0.089594   -0.064016
38          Janna  0.021174  0.090293   -0.069119
55          Leona  0.040736  0.113546   -0.072810
94         Soraka  0.011900  0.086841   -0.074941
10     Blitzcrank  0.087401  0.202109   -0.114708
101        Thresh  0.086753  0.247360   -0.160606

--------------------------------------------------------------

Champion Rank by PageRank
         champion  pagerank
54        Lee Sin  0.029129
57         Lucian  0.027747
110         Vayne  0.027159
101        Thresh  0.023106
64   Miss Fortune  0.022397
10     Blitzcrank  0.019489
11          Brand  0.017729
102      Tristana  0.017387
121         Yasuo  0.016133
24         Ezreal  0.016080
13        Caitlyn  0.014983
124           Zed  0.014969
42           Jinx  0.014556
66        Morgana  0.014152
27           Fizz  0.013474
40            Jax  0.013423
63      Master Yi  0.013105
59            Lux  0.012835
81         Rengar  0.012810
82          Riven  0.011851
60       Malphite  0.011610
55          Leona  0.011296
1            Ahri  0.010883
6           Annie  0.010804
105  Twisted Fate  0.010122
80       Renekton  0.010090
21           Ekko  0.009927
120      Xin Zhao  0.009552
33         Graves  0.009408
17         Darius  0.009379
3         Alistar  0.009307
51        Kindred  0.009128
12          Braum  0.009116
38          Janna  0.009039
53        LeBlanc  0.009039
94         Soraka  0.009011
26          Fiora  0.008999
9            Bard  0.008866
19      Dr. Mundo  0.008774
77          Quinn  0.008735
37         Irelia  0.008395
97     Tahm Kench  0.008215
69       Nautilus  0.008206
76          Poppy  0.008185
43        Kalista  0.008093
93           Sona  0.008005
18          Diana  0.007947
104    Tryndamere  0.007877
68          Nasus  0.007688
