Champion Rank by counts:
         champion      count
126        Zilean  0.121081  0.019189    0.101892
3         Alistar  0.131137  0.035137    0.096000
72           Nunu  0.107007  0.012008    0.094999
85        Sejuani  0.112488  0.017664    0.094824
62         Maokai  0.105175  0.012367    0.092808
44          Karma  0.114976  0.023384    0.091593
92        Skarner  0.098397  0.009849    0.088548
93           Sona  0.134634  0.047077    0.087557
9            Bard  0.131006  0.043568    0.087438
55          Leona  0.132176  0.047373    0.084803
127          Zyra  0.108594  0.026009    0.082585
90           Sion  0.097458  0.016652    0.080806
69       Nautilus  0.121737  0.044123    0.077614
123           Zac  0.110683  0.033326    0.077357
25   Fiddlesticks  0.091410  0.014450    0.076960
32         Gragas  0.095396  0.019906    0.075490
45        Karthus  0.091723  0.017485    0.074238
58           Lulu  0.115750  0.042536    0.073214
39      Jarvan IV  0.110546  0.039480    0.071066
78         Rammus  0.114900  0.044932    0.069969
89         Singed  0.081106  0.013194    0.067912
122        Yorick  0.072918  0.005120    0.067798
108         Urgot  0.072268  0.004649    0.067618
125         Ziggs  0.085166  0.018694    0.066473
119        Xerath  0.089207  0.023138    0.066069
4           Amumu  0.111995  0.048897    0.063098
83         Rumble  0.078885  0.016287    0.062599
65    Mordekaiser  0.064933  0.005077    0.059856
56      Lissandra  0.084865  0.026593    0.058272
87           Shen  0.115716  0.058974    0.056742
79        Rek'Sai  0.093081  0.036371    0.056710
112       Vel'Koz  0.096881  0.040593    0.056288
49         Kennen  0.076696  0.022507    0.054189
35   Heimerdinger  0.071928  0.018523    0.053405
14     Cassiopeia  0.067362  0.015178    0.052184
95          Swain  0.074253  0.023039    0.051214
74        Orianna  0.095304  0.044644    0.050661
23        Evelynn  0.087573  0.036937    0.050636
109         Varus  0.085146  0.035179    0.049967
0          Aatrox  0.066101  0.016485    0.049616
52        Kog'Maw  0.074488  0.025111    0.049377
91          Sivir  0.092397  0.046676    0.045721
41          Jayce  0.072900  0.027289    0.045610
117       Warwick  0.084465  0.038984    0.045482
97     Tahm Kench  0.097001  0.057403    0.039597
96         Syndra  0.071366  0.031906    0.039460
71       Nocturne  0.075131  0.036191    0.038940
48          Kayle  0.074833  0.036368    0.038465
7            Ashe  0.093314  0.056356    0.036959
66        Morgana  0.125386  0.088766    0.036620
111        Veigar  0.073631  0.037466    0.036166
8            Azir  0.073028  0.038914    0.034113
101        Thresh  0.135735  0.101724    0.034012
73           Olaf  0.066810  0.033294    0.033516
88        Shyvana  0.072206  0.038975    0.033231
31           Gnar  0.078723  0.045699    0.033024
103       Trundle  0.091743  0.062639    0.029103
5          Anivia  0.079290  0.051612    0.027678
34        Hecarim  0.081557  0.054189    0.027369
36         Illaoi  0.064691  0.037562    0.027128
2           Akali  0.056963  0.030608    0.026356
16          Corki  0.084173  0.059826    0.024347
10     Blitzcrank  0.124584  0.100358    0.024226
50        Kha'Zix  0.062777  0.039068    0.023710
100         Teemo  0.065655  0.042131    0.023524
84           Ryze  0.063713  0.040623    0.023090
116      Volibear  0.089992  0.067205    0.022787
114        Viktor  0.072675  0.050629    0.022046
106        Twitch  0.074144  0.052120    0.022024
61       Malzahar  0.075340  0.053990    0.021349
22          Elise  0.076827  0.056200    0.020628
47       Katarina  0.070285  0.051763    0.018522
115      Vladimir  0.067941  0.051653    0.016288
15       Cho'Gath  0.067495  0.051347    0.016148
29      Gangplank  0.081907  0.066116    0.015790
98          Talon  0.073000  0.058098    0.014902
107          Udyr  0.068879  0.056054    0.012825
76          Poppy  0.077223  0.064503    0.012719
113            Vi  0.079763  0.067635    0.012128
20         Draven  0.071498  0.060245    0.011253
68          Nasus  0.062409  0.054035    0.008375
86          Shaco  0.071494  0.064256    0.007238
19      Dr. Mundo  0.084124  0.078403    0.005721
70        Nidalee  0.069001  0.064958    0.004043
46       Kassadin  0.067694  0.065099    0.002595
118        Wukong  0.074055  0.073123    0.000933
75       Pantheon  0.072404  0.073401   -0.000997
104    Tryndamere  0.052331  0.054659   -0.002328
77          Quinn  0.077233  0.080018   -0.002785
51        Kindred  0.077763  0.081017   -0.003253
18          Diana  0.066419  0.071509   -0.005090
6           Annie  0.083163  0.090028   -0.006866
120      Xin Zhao  0.069399  0.078194   -0.008795
43        Kalista  0.074281  0.083442   -0.009161
