champion,picks,wins,win_rate,bans,ban_rate,pick_rate,ban_rate_z,win_rate_z,perceived_minus_actual,quadrant
Hecarim,12797,6451,0.5041025240290693,1240,0.005569229110899521,0.005747534268724287,-0.36190768560088565,0.3195282782506498,-0.6814359638515355,sleeper
Evelynn,7714,3898,0.5053150116670988,1618,0.007266945726964052,0.0034645994646353953,-0.346967422230264,0.37006957464204926,-0.7170369968723133,sleeper
Warwick,10140,5128,0.5057199211045365,527,0.002366922372132296,0.004554192192300092,-0.390088658572455,0.38694780683785923,-0.7770364654103142,sleeper
Zilean,7521,3809,0.5064486105571068,741,0.0033280635251423745,0.0033779171083125237,-0.38163041423035704,0.4173224749536484,-0.7989528891840054,sleeper
Pantheon,14375,7290,0.5071304347826087,1232,0.00553329860050662,0.006456263586224242,-0.3622238816510575,0.4457436144251661,-0.8079674960762235,sleeper
Malphite,33312,17588,0.5279779058597502,22828,0.10252771140614052,0.014961464527603614,0.49134735578794897,1.3147489400656933,-0.8234015842777443,overpowered
Nocturne,8007,4058,0.5068065442737605,315,0.0014147638467204428,0.0035961949589493917,-0.39846785390201,0.43224257268864097,-0.830710426590651,sleeper
Shyvana,10019,5085,0.5075356822038127,838,0.003763720963656289,0.0044998472953308305,-0.3777965371220229,0.4626359351256158,-0.8404324722476386,sleeper
Shen,20638,10496,0.5085764124430662,1426,0.006404613477534449,0.009269173418608412,-0.3545561274343893,0.5060177015336296,-0.8605738289680189,sleeper
Corki,11990,6092,0.5080900750625521,695,0.003121463090383199,0.005385085245135907,-0.3834485415188454,0.48574522953158494,-0.8691937710504303,sleeper
Shaco,14327,7315,0.5105744398687793,2431,0.010918383845642527,0.006434705279988503,-0.31483399863154615,0.5893034136133211,-0.9041374122448672,sleeper
Nasus,18776,9646,0.5137409458883682,4223,0.018966818173652155,0.008432890789213662,-0.24400608339304364,0.7212959504785086,-0.9653020338715522,sleeper
Sejuani,5066,2589,0.5110540860639557,264,0.0011857068429657043,0.0022752995706304007,-0.40048360372185576,0.6092969704571822,-1.009780574179038,sleeper
Leona,26127,13391,0.5125349255559383,944,0.004239800226362216,0.011734455562941271,-0.37360693945724543,0.6710242370493692,-1.0446311765066145,sleeper
Swain,5902,3034,0.5140630294815317,546,0.002452257334315434,0.0026507734042362074,-0.3893376929532968,0.7347216727987305,-1.1240593657520273,sleeper
Blitzcrank,47327,24847,0.5250068671160225,11429,0.05133122541005695,0.021256040817059806,0.04080750879928279,1.1909042549511217,-1.150096746151839,overpowered
Nautilus,19640,10124,0.5154786150712831,807,0.0036244902358838005,0.008820940301456982,-0.379021796816439,0.7937288977922106,-1.1727506946086494,sleeper
Twisted Fate,22982,11921,0.5187102950134889,2994,0.013446993514542874,0.010321937373120385,-0.29258170160069963,0.9284381423883912,-1.2210198439890907,sleeper
Zyra,7464,3859,0.5170150053590568,222,0.0009970716634029786,0.0033523166196575823,-0.4021436329852581,0.8577717420008586,-1.2599153749861167,sleeper
Ahri,26695,13884,0.5200973965162016,2118,0.00951260262652031,0.011989562186730862,-0.32720516909452113,0.986258037597791,-1.3134632066923122,sleeper
Singed,5237,2717,0.5188084781363376,295,0.0013249375707381924,0.002352101036595225,-0.3992583440274397,0.9325308045788232,-1.331789148606263,sleeper
Kayle,9690,5042,0.5203302373581011,1680,0.0075454071825090275,0.004352083071340028,-0.34451690284143194,0.9959637678942201,-1.340480670735652,sleeper
Wukong,16990,8846,0.5206592113007652,1274,0.005721933780069346,0.007630742144692166,-0.36056385238765515,1.0096767073253003,-1.3702405597129554,sleeper
