champion,bucket,picks,win_rate,ban_rate,ban_win_salience_residual
Jayce,low,1418,0.4717912552891396,0.001405588484335309,0.41917576123532807
Jinx,low,12384,0.5020994832041343,0.0077392040643522435,-0.6102257773445181
Kalista,low,3441,0.4882301656495205,0.0059271803556308214,-0.12940716604812535
Karma,low,2247,0.4730752113929684,0.0006265876375952582,0.3661617862679332
Karthus,low,896,0.4955357142857143,0.0009144792548687553,-0.43626111304274784
Kassadin,low,2688,0.4720982142857143,0.005402201524132092,0.4440646321970131
Katarina,low,3000,0.498,0.014072819644369178,-0.4064184652493039
Kayle,low,2707,0.5123753232360547,0.006096528365791702,-0.9932744278043419
Kennen,low,1610,0.4608695652173913,0.0009314140558848434,0.806362506608442
Kha'Zix,low,1897,0.44649446494464945,0.0012701100762066045,1.3246229198542172
Kindred,low,4633,0.4562918195553637,0.06787468247248095,1.5716014304221833
Kog'Maw,low,1753,0.4535082715345123,0.005876375952582557,1.114606099814551
LeBlanc,low,5343,0.4579824068875164,0.04292972057578323,1.2869968524962623
Lee Sin,low,13147,0.46398417890012933,0.03085520745131245,0.9634547647332327
Leona,low,9817,0.5176734236528471,0.010059271803556308,-1.147577515378108
Lissandra,low,1418,0.4915373765867419,0.0011685012701100762,-0.2906752676392926
Lucian,low,13148,0.5082902342561606,0.009991532599491955,-0.8118823733207875
Lulu,low,3550,0.47295774647887323,0.002218458933107536,0.3846672645587372
Lux,low,11801,0.5237691721040589,0.015715495342929722,-1.3152612700181603
Malphite,low,8541,0.5197283690434376,0.04082980524978831,-0.9449016799089373
Malzahar,low,4642,0.5389918138733305,0.016443691786621507,-1.8543175020974314
Maokai,low,1237,0.47291835084882783,0.0009991532599491957,0.37512956903666417
Master Yi,low,9200,0.511195652173913,0.09033022861981371,-0.19455360237451425
Miss Fortune,low,15561,0.5514427093374462,0.09278577476714649,-1.614999374828221
Mordekaiser,low,641,0.44305772230889234,0.01913632514817951,1.6082425991366285
Morgana,low,10288,0.5082620528771384,0.018543607112616427,-0.7340725072398402
Nami,low,3053,0.5168686537831642,0.0006265876375952582,-1.2034416253083977
Nasus,low,6542,0.5233873433200856,0.03905165114309907,-1.0920114762577846
Nautilus,low,6133,0.5214413826838415,0.005605419136325149,-1.3226218980346602
Nidalee,low,2672,0.4161676646706587,0.001947502116850127,2.417650752360645
Nocturne,low,1899,0.5186940494997367,0.001066892464013548,-1.264911693435224
Nunu,low,1325,0.46641509433962264,0.0004911092294665538,0.6036508127633107
