champion,bucket,picks,win_rate,ban_rate,perceived_minus_actual
Xin Zhao,low,7952,0.4954728370221328,0.03632938221210456,-0.10634407048418941
Yasuo,low,10168,0.4816089693154996,0.37525708454352774,3.4560683743727516
Yorick,low,709,0.45698166431593795,0.0019467776120574614,0.9975102458152234
Zac,low,1993,0.4922227797290517,0.0016484810424680116,-0.29941128369437303
Zed,low,9579,0.48501931308069735,0.06527984928173326,0.5383657265334341
Ziggs,low,1525,0.49311475409836064,0.0005965931391788995,-0.3416451773844776
Zilean,low,1560,0.4891025641025641,0.0018996781537012324,-0.18255804959701277
Zyra,low,1977,0.5386949924127465,0.000784990972603815,-2.0138878376355747
Aatrox,mid,2473,0.49737161342498987,0.004558651471161763,-0.4012049847527525
Ahri,mid,13737,0.5185994030719954,0.009065303115656282,-1.2012182697808498
Akali,mid,2866,0.46022330774598746,0.0044113186289379035,1.0632962977458766
Alistar,mid,12639,0.48112983622122,0.005407981973393422,0.24671034608833098
Amumu,mid,7307,0.5296291227589982,0.004948650171166096,-1.670712178701364
Anivia,mid,6708,0.5216159809183065,0.012783290722364258,-1.2892591746628006
Annie,mid,12104,0.49909120951751484,0.03014256619144603,-0.25586532247119564
Ashe,mid,6378,0.49686422075885855,0.000823330588898037,-0.41231129457242005
Azir,mid,5024,0.4578025477707006,0.004307318975603415,1.1579435389922352
Bard,mid,9867,0.46305868044998477,0.005685314382285392,0.9620395007491824
Blitzcrank,mid,24055,0.5277073373519019,0.039667201109329635,-1.305579590366921
Brand,mid,20802,0.5349966349389482,0.2659531134896217,0.2924315330330536
Braum,mid,11660,0.5042881646655232,0.003908653637821207,-0.6795218134592693
Caitlyn,mid,18727,0.47311368612164256,0.012367292109026304,0.6209880003690682
Cassiopeia,mid,1735,0.47665706051873197,0.0007539974866750444,0.38440763511915516
Cho'Gath,mid,6178,0.49061184849465844,0.007947306842310526,-0.10625337014004557
Corki,mid,6268,0.5043075941289088,0.003267322442258526,-0.6856325763083653
Darius,mid,10161,0.4906013187678378,0.18644537851540494,1.3815693347409064
Diana,mid,8354,0.4965286090495571,0.01931793560688131,-0.24495558714570043
Dr. Mundo,mid,11247,0.5456566195429893,0.6947870173766088,3.4452612439990915
Draven,mid,6610,0.4854765506807867,0.002114659617801274,0.04776280531649102
Ekko,mid,10566,0.4696195343554798,0.012332625557914806,0.7585648914840376
Elise,mid,6120,0.4766339869281046,0.013138622871257095,0.4885179208207154
Evelynn,mid,3591,0.5098858256752994,0.006430645231182563,-0.8793684335002685
Ezreal,mid,22364,0.4926667859059202,0.003371322095593015,-0.2254645220271458
Fiddlesticks,mid,2325,0.46236559139784944,0.0013259955800147332,0.9530603401708098
Fiora,mid,9991,0.501251126013412,0.20873597088009707,1.1471143390097391
Fizz,mid,15318,0.509009009009009,0.07773974086753044,-0.2505607995282551
Galio,mid,1274,0.4921507064364207,0.0016379945400182,-0.21954566645458679
Gangplank,mid,7418,0.5074143974117012,0.04737184209385969,-0.4406963468032589
Garen,mid,8637,0.5183512793794142,0.0914243619187936,-0.505138158921902
Gnar,mid,7078,0.48431760384289346,0.0039779867400442,0.10901730707086804
Gragas,mid,3429,0.4409448818897638,0.0015426615244615851,1.8000444501374162
Graves,mid,10984,0.5211216314639475,0.12099493001689994,-0.36803688035241755
Hecarim,mid,6144,0.4964192708333333,0.005208649304502318,-0.3582128465398986
Heimerdinger,mid,3075,0.4995121951219512,0.0027559908133639554,-0.5006854875570392
Illaoi,mid,7191,0.4540397719371437,0.334272219092603,4.055973911778382
Irelia,mid,9497,0.502158576392545,0.04755384148719504,-0.2318053190220453
Janna,mid,14640,0.5433743169398907,0.00378732070893097,-2.2227218212114113
Jarvan IV,mid,6104,0.4842726081258191,0.0022966590111366298,0.09678232261949499
Jax,mid,14562,0.49855789039967036,0.6301598994670018,4.765064053160222
Jayce,mid,3195,0.4726134585289515,0.0009966633444555184,0.5459746990351237
Jinx,mid,16323,0.4909636708938308,0.0024873250422498593,-0.165632428841148
Kalista,mid,8449,0.4991123209847319,0.006309312302292326,-0.4552985092048041
Karma,mid,4598,0.4980426272292301,0.0006846643844520519,-0.4599621650891749
Karthus,mid,1796,0.47939866369710465,0.0006499978333405556,0.27536791924009374
Kassadin,mid,6657,0.459215863001352,0.006482645057849807,1.1203063488991072
Katarina,mid,4634,0.4738886491152352,0.00425531914893617,0.5228146574061288
Kayle,mid,4812,0.5268079800498753,0.007756640811197296,-1.536002042934527
Kennen,mid,3282,0.4692260816575259,0.0008059973133422889,0.6780387356110996
Kha'Zix,mid,4230,0.4347517730496454,0.001421328595571348,2.043389604509147
Kindred,mid,9480,0.4932489451476793,0.1665381115396282,1.1112188615926595
Kog'Maw,mid,2652,0.4490950226244344,0.004194652684491052,1.5005700898803576
LeBlanc,mid,11419,0.46098607583851475,0.02467391775360749,1.2020466953847633
Lee Sin,mid,37933,0.4722009859489099,0.0480045066516445,0.953961109168352
Leona,mid,12883,0.5074904913451835,0.002513324955583481,-0.8175004237701369
Lissandra,mid,3774,0.47668256491785904,0.0011959960133466222,0.38708446096923055
Lucian,mid,37469,0.4943553337425605,0.013970620097933007,-0.20376518334945087
Lulu,mid,9831,0.4894720781202319,0.004575984746717511,-0.08937532559008793
Lux,mid,17840,0.5262331838565022,0.008146639511201629,-1.510072978482035
Malphite,mid,17522,0.5327017463759844,0.08696971010096632,-1.1084724724012593
Malzahar,mid,6628,0.5289680144840072,0.0071586428045239845,-1.6262117379208672
Maokai,mid,2140,0.4766355140186916,0.0005719980933396888,0.38374119356366604
Master Yi,mid,14236,0.5212840685585839,0.05628981236729211,-0.9136275366335366
Miss Fortune,mid,28195,0.5469054796949814,0.08240239199202669,-1.70695607774916
Mordekaiser,mid,627,0.45454545454545453,0.008085973046756512,1.3179430471105924
Morgana,mid,18176,0.5012654049295775,0.01295662347792174,-0.48485950095215047
Nami,mid,8615,0.5313987231572838,0.0004939983533388222,-1.777653975976416
Nasus,mid,9704,0.5106141797197032,0.014100619664601117,-0.8441933190564641
Nautilus,mid,10187,0.5118288014135663,0.0036053213155956146,-0.9795739210873566
Nidalee,mid,6630,0.44177978883861235,0.0034579884733717554,1.783062474234773
Nocturne,mid,4464,0.5073924731182796,0.0016033279889067036,-0.8212159193384363
Nunu,mid,2086,0.4726749760306807,0.0005286649044503185,0.5396476695378685
Olaf,mid,4308,0.49280408542246984,0.0038739870867097108,-0.22669317290723157
Orianna,mid,6258,0.45477788430808563,0.0005546648177839407,1.2460145981038724
Pantheon,mid,7234,0.5147912634780205,0.0049919833600554665,-1.0849063371605219
Poppy,mid,9573,0.47216128695288834,0.06747844173852754,1.117801904372115
Quinn,mid,8917,0.5222608500616799,0.07460241799194002,-0.7995703915426142
Rammus,mid,7633,0.5417267129568977,0.04297785674047753,-1.8311427541824146
Rek'Sai,mid,3877,0.47536755223110655,0.0021059929800233998,0.4465527113437851
Renekton,mid,12838,0.49182115594329334,0.01674394418685271,-0.08066645015218074
Rengar,mid,15624,0.4927035330261137,0.16547211509294968,1.123855876452283
Riven,mid,13554,0.46753725837391175,0.031113229622567923,0.9972204429227498
Rumble,mid,2301,0.4611038678835289,0.0006239979200069333,0.9969934091544239
Ryze,mid,5979,0.45960863020572,0.011604627984573384,1.1474902590214449
Sejuani,mid,2673,0.5173961840628507,0.0009793300688997703,-1.2211235189708296
Shaco,mid,7884,0.5192795535261289,0.010685964380118733,-1.2145495715218446
Shen,mid,10564,0.5083301779628928,0.006707977640074533,-0.8156775851252644
Shyvana,mid,5076,0.5102442868400315,0.003423321922260259,-0.9185716652850122
Singed,mid,2741,0.5155052900401313,0.001039996533344889,-1.146010599497218
Sion,mid,2705,0.5157116451016636,0.0007713307622307926,-1.156391341044986
Sivir,mid,6173,0.4830714401425563,0.00038133206222645924,0.12821554757085318
Skarner,mid,1494,0.5314591700133868,0.0017246609177969407,-1.7697839833485838
Sona,mid,9530,0.5351521511017838,0.003639987866707111,-1.8995345513466497
Soraka,mid,12081,0.5164307590431255,0.6294839017203276,4.0542365046021756
Swain,mid,3101,0.5162850693324734,0.002192659357802141,-1.167172657212742
Syndra,mid,3799,0.47196630692287445,0.001039996533344889,0.5718698989335145
Tahm Kench,mid,10469,0.4938389530996275,0.5484161719460935,4.270092525060017
Talon,mid,6358,0.5346020761245674,0.007669974433418555,-1.8442492224480542
Taric,mid,3991,0.5184164369832123,0.0014993283355722148,-1.2570456722308185
Teemo,mid,5484,0.4885120350109409,0.004939983533388222,-0.04846255714002429
Thresh,mid,32021,0.47418881359108084,0.006291979026736578,0.5279426144962495
Tristana,mid,23610,0.4895806861499365,0.006335312215625948,-0.07900027354582678
Trundle,mid,10386,0.5396687849027537,0.04885383715387615,-1.7009808643466144
Tryndamere,mid,8368,0.5087237093690249,0.17805607314642286,0.5966223616027313
Twisted Fate,mid,11624,0.5189263592567103,0.008311305628981237,-1.2204016893685994
Twitch,mid,4945,0.49464105156723964,0.0008579971400095333,-0.3243047321145028
Udyr,mid,8009,0.5325259083531028,0.0061966460111799624,-1.774608746464171
Urgot,mid,630,0.44285714285714284,0.0016033279889067036,1.72509952897648
Varus,mid,3504,0.4908675799086758,0.00037266542444858516,-0.17946230380883715
Vayne,mid,34607,0.4961423989366313,0.07378775404081986,0.22417452740223417
Veigar,mid,4184,0.4608030592734226,0.03789920700264333,1.319472885555298
Vel'Koz,mid,5384,0.5217310549777118,0.0009013303288989037,-1.392810785377075
Vi,mid,8521,0.4931346086140124,0.00812930623564588,-0.20427517969635461
Viktor,mid,5890,0.48896434634974534,0.0029986566711444297,-0.08248590940853834
Vladimir,mid,8222,0.47798589151058135,0.004939983533388222,0.36685850339673337
Volibear,mid,7560,0.5296296296296297,0.008111972960090133,-1.6443725136814344
Warwick,mid,4944,0.5101132686084142,0.001993326688911037,-0.9253182033131981
Wukong,mid,8805,0.518114707552527,0.00495731680894397,-1.2163255066408691
Xerath,mid,2692,0.4962852897473997,0.0006933310222299258,-0.39055218161353394
Xin Zhao,mid,10391,0.5044750264652103,0.032985223382588726,-0.4446024043130881
Yasuo,mid,16508,0.4782529682578144,0.31169562768124104,2.9124859271769905
Yorick,mid,832,0.4831730769230769,0.0014559951466828443,0.13316041585997684
Zac,mid,5135,0.4963972736124635,0.003778654071153096,-0.36926093354496237
Zed,mid,19098,0.503089328725521,0.056792477358408804,-0.19154455640935908
Ziggs,mid,2303,0.4706904038211029,0.0006673311088963037,0.6191067336028219
Zilean,mid,3595,0.5065368567454799,0.003154656151146163,-0.7745295261564674
Zyra,mid,4188,0.51981852913085,0.0011266629111236295,-1.3154722105773815
Aatrox,high,552,0.483695652173913,0.006003152234377898,0.17825564114166664
Ahri,high,6010,0.5302828618968386,0.008784535508993139,-1.5913022430737873
Akali,high,699,0.47639484978540775,0.005191915445948452,0.452629057742647
Alistar,high,5106,0.509204857030944,0.006165399592063786,-0.8013328714852896
Amumu,high,1399,0.49749821300929237,0.001460226219173002,-0.38803429757788466
Anivia,high,2966,0.5249494268374916,0.013582421657704432,-1.3486640613715188
Annie,high,2700,0.49333333333333335,0.00987391062488411,-0.16202130911058726
Ashe,high,1417,0.5010585744530699,0.00032449471537177824,-0.5338256918206856
Azir,high,1896,0.4440928270042194,0.0030363434081216393,1.6778041388231546
Bard,high,5746,0.46153846153846156,0.0061422213981086595,1.0313142211880604
Blitzcrank,high,8880,0.5261261261261261,0.020304097904691266,-1.341287302431637
Brand,high,7287,0.5225744476464937,0.15661505655479324,-0.13757878504284649
Braum,high,3984,0.4866967871485944,0.0030363434081216393,0.039632138833053276
Caitlyn,high,6031,0.45829878958713316,0.0062812905618394215,1.1569721250390594
Cassiopeia,high,701,0.4664764621968616,0.0006953458186538105,0.7988001877149629
Cho'Gath,high,1069,0.47427502338634236,0.0007880585944743185,0.4996622302923967
Corki,high,3120,0.5134615384615384,0.002595957722974226,-0.9929514548701044
Darius,high,3381,0.4954155575273588,0.04141943259781198,0.004876262953362305
Diana,high,2463,0.48112058465286234,0.00947988132764695,0.3044883829970909
Dr. Mundo,high,4420,0.531447963800905,0.7052660856666049,3.8164675181514625
Draven,high,2973,0.5294315506222671,0.003244947153717782,-1.6019362984731906
Ekko,high,4034,0.45066931085770945,0.006420359725570183,1.4514232238154359
Elise,high,3916,0.4790602655771195,0.026793992212126833,0.5192576374362445
Evelynn,high,2276,0.5039543057996485,0.01367513443352494,-0.5406513257230732
Ezreal,high,9904,0.48576332794830374,0.003801223808640831,0.08151278047319094
