champion,learning_slope,ci95_low,ci95_high,player_champion_cells,games
LeBlanc,-0.10277140058850777,-0.15526325628868215,-0.05475835672074431,339,3092
Renekton,-0.10341328148286083,-0.15349130193704744,-0.05807710616530696,396,3826
Morgana,-0.10545419230839795,-0.14063612878454865,-0.07235745917207813,543,5332
Darius,-0.10574896935577781,-0.16017341389072356,-0.05611442307740992,337,3163
Corki,-0.1064068362673719,-0.1742145305984262,-0.03926052577132985,167,1494
Azir,-0.10937161466802739,-0.16026805307774306,-0.04785332041458878,150,1874
Rammus,-0.11139417122399879,-0.17369098318579734,-0.048371895166679925,221,2130
Soraka,-0.11150601860541835,-0.1672698770007969,-0.055081752615218846,270,2320
Xin Zhao,-0.11253374673981431,-0.17371921583659516,-0.06038239428471771,256,2513
Swain,-0.11463334117004942,-0.21301567562494544,-0.021291539808120662,87,838
Syndra,-0.1153809615086481,-0.19779849563690802,-0.04295895431174871,123,1159
Tristana,-0.11571069910679602,-0.15017165774766675,-0.08545443292825522,732,6895
Rek'Sai,-0.1160439216591838,-0.17490412868476504,-0.06382839362552416,214,2331
Twitch,-0.11671574044289933,-0.19391528685619747,-0.04402550338225524,159,1526
Sion,-0.11910451149145326,-0.2124649828642995,-0.035431591894362006,79,618
Trundle,-0.1199098661362125,-0.16131331098885515,-0.08461285967711464,392,3839
Xerath,-0.11995618465847878,-0.21372653509133413,-0.026709133314368232,83,885
Amumu,-0.12120949662565807,-0.20074578941247695,-0.04526199819049124,158,1364
Kassadin,-0.12278966553078294,-0.19586188417402275,-0.052825888350640456,177,1683
Ashe,-0.12392447969368633,-0.20377020351371505,-0.04690687481831398,127,1157
Irelia,-0.12528128939280947,-0.17345087992376512,-0.07965186671288109,391,3788
Kayle,-0.12624312710643223,-0.1839909354516962,-0.07503694321930413,179,2126
Twisted Fate,-0.1328375272736142,-0.1693590515072756,-0.09877218529717459,515,5472
Annie,-0.1358161033416233,-0.18239771510329902,-0.09026657257861063,320,2873
Braum,-0.13953443586194272,-0.19429414536955758,-0.08537101983277672,295,2556
Dr. Mundo,-0.14191132733904666,-0.20221717332249048,-0.08482228367291236,276,2274
Jarvan IV,-0.14389132099706295,-0.22190171199534295,-0.06967378284562468,129,1126
Hecarim,-0.1452478886805894,-0.1946893008461471,-0.0910302432764231,227,2437
Nocturne,-0.15375640710890573,-0.24142821291377775,-0.05490081191159122,139,1078
Lissandra,-0.1582749918269382,-0.24096326379581012,-0.07657295802366797,102,882
Cho'Gath,-0.1584715370492133,-0.23653928770377117,-0.07776041578060637,162,1406
Sivir,-0.16279790877691705,-0.25200422040035647,-0.0844742762856667,100,827
Veigar,-0.18356473493048045,-0.33708274684507084,-0.0730691256294986,72,695
Aatrox,-0.18873281785014911,-0.3217989916866535,-0.06644523354825042,73,752
Taric,-0.20329062914584414,-0.30135433912328485,-0.11682314426962047,102,869
Skarner,-0.21738751448062338,-0.33813366798355027,-0.07642784257891429,47,404
